,id,name,county,state_code,state,zip_codes,type,population,median_income
20568,42612,Kelso,Cowlitz County,WA,Washington,98626 / 98632,City,12047,33843
11700,26879,Edgewater,Bergen County,NJ,New Jersey,07010 / 07020,Borough,12044,101767
10554,4490,Doctor Phillips,Orange County,FL,Florida,32819 / 32836,CDP,12028,80304
3061,15225,Bensville,Charles County,MD,Maryland,20603 / 20675 / 20695,CDP,12024,122512
32679,41833,Poquoson,Poquoson city,VA,Virginia,23662 / 23693,City,12017,83735
18448,27005,Holiday City-Berkeley,Ocean County,NJ,New Jersey,08757 / 08759,CDP,12013,31807
29427,31784,Norton,Summit County / Wayne County,OH,Ohio,44203 / 44281 / 44320 / 44321,City,12011,62551
4926,43221,Brown Deer,Milwaukee County,WI,Wisconsin,53209 / 53223,Village,12011,55239
45083,42971,Woodinville,King County,WA,Washington,98072,City,12000,99394
20114,4680,Jensen Beach,Martin County,FL,Florida,34957 / 34958 / 34994 / 34996,CDP,12000,43696
12036,32926,Elk City,Beckham County,OK,Oklahoma,73644 / 73648 / 73662,City,11997,51406
7735,2196,Clayton,Contra Costa County,CA,California,94517,City,11992,131563
8948,1574,Cottonwood,Yavapai County,AZ,Arizona,86324 / 86325 / 86326,City,11990,36440
32799,27780,Portales,Roosevelt County,NM,New Mexico,88130,City,11989,32758
40646,15669,Travilah,Montgomery County,MD,Maryland,20850 / 20854 / 20878,CDP,11989,206827
31036,37463,Parker,Greenville County,SC,South Carolina,29611 / 29617,CDP,11987,28424
43227,33417,Weatherford,Custer County,OK,Oklahoma,73096,City,11978,39257
41389,27392,Upper,Cape May County,NJ,New Jersey,08223 / 08230 / 08248 / 08250 / 08270,Township,11976,77012
7669,16655,Clawson,Oakland County,MI,Michigan,48017,City,11970,56395
39363,15653,Summerfield,Prince George's County,MD,Maryland,20743 / 20785,CDP,11970,71173
26793,31602,Monfort Heights,Hamilton County,OH,Ohio,45211 / 45223 / 45239 / 45247 / 45248,CDP,11965,72568
42175,20695,Waconia,Carver County,MN,Minnesota,55387,City,11964,79600
25349,15504,Mays Chapel,Baltimore County,MD,Maryland,21022 / 21093 / 21094,CDP,11957,99556
21745,10815,Lake Station,Lake County,IN,Indiana,46342 / 46403 / 46405,City,11952,39309
21653,2638,Lake Los Angeles,Los Angeles County,CA,California,93535 / 93591,CDP,11948,40240
35588,32126,Salem,Columbiana County / Mahoning County,OH,Ohio,44460,City,11947,40006
29611,33693,Oak Hills,Washington County,OR,Oregon,97006 / 97229,CDP,11946,79333
15314,26945,Glen Rock,Bergen County,NJ,New Jersey,7452,Borough,11946,155221
7242,28393,Chester,Orange County,NY,New York,10918 / 10950 / 10981 / 10990,Town,11944,89089
21468,5919,Lahaina,Maui County,HI,Hawaii,96761 / 96767,CDP,11941,67362
22413,653,Leeds,Jefferson County / Shelby County / St. Clair County,AL,Alabama,35004 / 35094 / 35173 / 35210,City,11940,52689
1024,39373,Anna,Collin County,TX,Texas,75409 / 75424 / 75454 / 75485,City,11940,69663
11006,28562,Dunkirk,Chautauqua County,NY,New York,14048,City,11940,38937
33025,42802,Prairie Ridge,Pierce County,WA,Washington,98321 / 98360 / 98391,CDP,11935,73901
36320,3172,Scotts Valley,Santa Cruz County,CA,California,95066,City,11928,101475
39966,9724,Taylorville,Christian County,IL,Illinois,62568,Township,11917,42811
25126,27111,Martinsville,Somerset County,NJ,New Jersey,07920 / 08805 / 08807 / 08836,CDP,11914,126745
3989,14215,Bogalusa,Washington Parish,LA,Louisiana,70427 / 70429,City,11913,23315
16498,6371,Grimes,Dallas County / Polk County,IA,Iowa,50111 / 50131,City,11909,77652
31168,29501,Patterson,Putnam County,NY,New York,10509 / 10512 / 12531 / 12563,Town,11909,87143
9217,21172,Crestwood,St. Louis County,MO,Missouri,63122 / 63123 / 63126,City,11905,64763
5158,30463,Bucyrus,Crawford County,OH,Ohio,44820,City,11903,35480
43549,36946,West Deer,Allegheny County,PA,Pennsylvania,15006 / 15024 / 15032 / 15044 / 15076 / 15084 / 15101,Township,11902,59784
24203,31418,Macedonia,Summit County,OH,Ohio,44056 / 44067 / 44236,City,11899,81056
29174,35858,North Lebanon,Lebanon County,PA,Pennsylvania,17042 / 17046 / 17067,Township,11897,57769
28384,1723,New Kingman-Butler,Mohave County,AZ,Arizona,86409,CDP,11892,27675
3625,7022,Blackfoot,Bingham County,ID,Idaho,83221,City,11890,38406
31154,11152,Patoka,Gibson County,IN,Indiana,47665 / 47666 / 47670,Township,11887,46037
38060,15081,Spencer,Worcester County,MA,Massachusetts,1562,Town,11880,62901
